title,description,length
The Inferno of Dante,"With the poet Virgil as his guide, Dante travels through the nine circles of Hell, listening to voices of the condemned. Poet, essayist, and translator Robert Pinsky has captured the intensity and passion of The Inferno in an unsurpassed contemporary translation. Winner of the Los Angeles Times Book Prize.",307
Arte Povera,"Arte Povera is Italy's most important and influential post-war art movement. Originally championed by the leading art critic Germano Celant, it included internationally recognized artists. Edited by one of the world's foremost authorities on the subject, Arte Povera is a complete overview of this movement.",307
"Great Kings of the Bible: How Jesus Is Greater Than Saul, David and Solomon","The three greatest kings of Israel were Saul, David, and Solomon. However, many years later a different king would come. This king was born in a stable, not a palace. He served the sick, the poor and the needy and was without any sin. This king is Jesus, God's Son. He is a very different king. His greatest victory was his death on the cross and because of that God made him, the greatest of all kings; the King of Kings.",422
"Star Wars: Dawn of the Jedi, Volume 2: Prisoner of Bogan","Xesh, a mysterious alien warrior, is enthralled with the madman Daegen Lok and his obsession with conquering known space. Hunter teams are dispatched by the Je'daii to stop Lok and save the misguided Xesh, but they're not alone. Xesh's former masters have sent their own hunter--with orders to kill! Collects Dawn of the Jedi: Prisoner of Bogan #1-#5.",351
"Widow to Widow: Thoughtful, Practical Ideas for Rebuilding Your Life","In this remarkably useful guide, widow, author, and therapist Genevieve Davis Ginsburg offers fellow widows-as well as their family and friends-sage advice for coping with the loss of a husband. From learning to travel and eat alone to creating new routines to surviving the holidays and anniversaries that reopen emotional wounds, Widow to Widowwalks readers through the challenges of widowhood and encourages them on their path to building a new life.",453
Work Lights,"David Young is the author of several collections of poetry, including Field of Light and Shadow(Knopf, 2010); Black Lab (2006); At the White Window (2000); Night Thoughts and Henry Vaughan(1994), which won the Ohio State University Press/The Journal Award in Poetry; The Planet on the Desk: Selected and New Poems 1960-1990 (1991); Foraging (1986); Earthshine (1988); The Names of a Hare in English (1979); Work Lights: Thirty-Two Prose Poems (1977); and Boxcars (1972).",470
A Life of the Twentieth Century,"A Life of the Twentieth Century is a fictionalized biography depicting the life of Aya, which started in a small village in the Carpathian Mountains. From there, she went to Budapest where she survived the Nazi occupation. After the war, she went to Palestine and experienced life in a Kibutz. Later, she immigrated to Canada where she graduated with a B.A. and a teacher's diploma from McGill University. Ava spent the rest of her life teaching.",446
JLA Presents: Aztek: The Ultimate Man,"From writers Grant Morrison (52, Batman) and Mark Millar (Ultimates, Civil War) comes Aztek, the visionary hero from the 1990s!
In these stories from Aztek: The Ultimate ManAztek fights the forces of evil in Vanity City, where he meets costumed characters including Green Lantern and The Joker!
Collecting: Aztek: The Ultimate Man1-10
Drew Geraci",346
Ivy League Cowboy,"Dusty doesn't fear the feisty bull...but his owner's another story.
Dusty O'Donovan, an accomplished bull rider, isn't afraid to ride El Diablo, a feisty stud whose owner, Zach McCray, is offering $500,000 to anyone who can stay on him for a full eight seconds. Though Zach refuses to let a woman ride his bull, he's intrigued by the headstrong Dusty, who he last saw when he was thirteen and she was six. Sparks fly when they're together, but will Dusty's secrets tear them apart?",481
"Orbital Mechanics (Descender, #4)","Tim-21, Telsa and Quon finally escape the Machine Moon and head out on a quest to find the ancient robot who may hold the key to the Harvesters. Meanwhile Andy and his rag-tag team close in on Tim, but their fragile alliance is shattered by Driller's revealtions.
A new chapter of the heartfelt Sci Fi epic begins here by superstar creators JEFF LEMIRE and DUSTIN NGUYEN
Collects issues 17 through 21.",401
Landscape Painting for Beginners,"Painting a landscape is something that many people would love to do, but too often they are discouraged because they feel they have no natural talent. Joanna Carrington believes that enthusiasm and courage to start are more important than talent; and that a contained enthusiasm is the essence of a good painting, whether or not the artist has any experience.",359
"Charlotte Bronte, You Ruined My Life","Poetry. Jewish Studies. Ungar's diabolical book is both devilishly funny and devastatingly open about love, sex, marriage, and divorce. Selected for the Hilary Tham Capital Collection by Judge Denise Duhamel, who says, ""Formally inventive, punch-in-the-guts honest, these poems are for romantics, cynics, and every kind of reader in between.""",342
